"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 13, 2019","970.00","964.07","970.26","963.51","40.15K","0.60%"
"Sep 12, 2019","964.19","957.38","965.19","957.38","43.78K","0.71%"
"Sep 11, 2019","957.38","952.00","957.38","949.79","35.69K","0.52%"
"Sep 10, 2019","952.47","954.88","958.75","944.63","47.35K","-0.33%"
"Sep 09, 2019","955.67","958.04","958.94","954.06","38.76K","-0.24%"
"Sep 06, 2019","957.97","958.19","960.32","955.71","34.96K","0.03%"
"Sep 05, 2019","957.66","958.63","963.71","955.69","39.37K","-0.10%"
"Sep 04, 2019","958.59","957.77","958.59","946.90","43.34K","-0.06%"
"Sep 03, 2019","959.18","973.52","974.92","959.18","40.26K","-1.45%"
"Aug 30, 2019","973.33","968.74","974.82","968.74","44.89K","0.47%"
"Aug 29, 2019","968.74","963.49","968.77","962.70","42.52K","0.54%"
"Aug 28, 2019","963.51","963.72","966.34","961.72","37.91K","-0.03%"
"Aug 27, 2019","963.79","962.15","968.23","961.44","45.96K","0.20%"
"Aug 26, 2019","961.91","966.54","966.54","957.36","47.95K","-0.48%"
"Aug 23, 2019","966.57","968.61","969.61","963.68","36.46K","-0.29%"
"Aug 22, 2019","969.36","968.91","973.27","967.49","45.24K","0.04%"
"Aug 21, 2019","969.01","968.99","971.45","968.10","50.84K","0.00%"
"Aug 20, 2019","968.99","964.09","968.99","964.07","44.52K","0.53%"
"Aug 19, 2019","963.90","963.78","969.08","959.41","38.50K","0.02%"
"Aug 16, 2019","963.73","956.58","966.86","956.39","46.43K","0.75%"
"Aug 15, 2019","956.60","957.36","957.36","942.86","47.43K","-0.10%"
"Aug 14, 2019","957.58","957.86","962.86","956.43","46.73K","-0.03%"
"Aug 13, 2019","957.86","963.50","963.86","952.87","47.93K","-0.59%"
"Aug 12, 2019","963.50","964.94","966.45","960.54","48.06K","-0.14%"
"Aug 09, 2019","964.85","958.30","966.94","958.11","54.01K","0.68%"
"Aug 08, 2019","958.32","949.90","958.32","948.00","59.54K","0.89%"
"Aug 07, 2019","949.90","950.19","955.76","945.46","54.75K","-0.03%"
"Aug 06, 2019","950.15","956.43","956.43","940.34","71.85K","-0.81%"
"Aug 05, 2019","957.94","960.05","962.36","951.99","53.70K","-0.22%"
"Aug 02, 2019","960.08","962.44","962.44","955.09","49.59K","-0.24%"
"Aug 01, 2019","962.41","957.22","962.43","956.01","51.92K","0.55%"
"Jul 31, 2019","957.15","955.65","957.15","949.79","48.30K","0.16%"
"Jul 30, 2019","955.64","962.26","965.23","954.24","50.00K","-0.68%"
"Jul 29, 2019","962.18","965.32","966.66","959.97","36.72K","-0.33%"
"Jul 26, 2019","965.32","968.94","970.37","964.09","38.22K","-0.37%"
"Jul 25, 2019","968.94","967.04","969.22","965.94","44.43K","0.14%"
