"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 23, 2017","894.76","890.99","895.29","889.29","41.77K","0.54%"
"Jun 22, 2017","889.92","886.39","891.00","885.46","39.38K","0.50%"
"Jun 21, 2017","885.45","888.27","888.33","880.77","27.95K","-0.11%"
"Jun 20, 2017","886.45","886.16","887.93","881.43","30.94K","0.20%"
"Jun 19, 2017","884.70","883.42","884.70","881.71","28.54K","0.47%"
"Jun 16, 2017","880.58","878.63","880.70","878.31","22.24K","0.09%"
"Jun 15, 2017","879.83","879.57","881.84","876.85","29.04K","-0.15%"
"Jun 14, 2017","881.13","881.36","881.99","878.81","31.94K","0.15%"
"Jun 13, 2017","879.79","879.84","880.99","875.00","34.28K","0.18%"
"Jun 12, 2017","878.25","882.37","884.74","877.44","27.30K","-0.48%"
"Jun 09, 2017","882.48","881.88","885.38","881.22","29.93K","-0.09%"
"Jun 08, 2017","883.26","887.59","887.81","878.78","39.14K","-0.29%"
"Jun 07, 2017","885.81","884.84","887.16","881.82","39.05K","0.56%"
"Jun 06, 2017","880.92","878.15","880.92","877.01","32.90K","0.48%"
"Jun 05, 2017","876.71","873.75","879.57","873.75","25.54K","0.57%"
"Jun 02, 2017","871.73","867.58","871.73","865.27","23.23K","0.78%"
"Jun 01, 2017","865.01","860.63","866.25","860.63","21.95K","0.50%"
"May 31, 2017","860.67","862.91","865.76","857.81","25.65K","-0.30%"
"May 30, 2017","863.28","874.07","875.49","862.58","39.13K","-1.22%"
"May 29, 2017","873.97","874.07","876.86","873.19","34.74K","0.31%"
"May 26, 2017","871.30","868.56","871.30","868.26","26.98K","0.37%"
"May 25, 2017","868.07","863.68","871.23","863.68","30.14K","0.55%"
"May 24, 2017","863.33","862.33","865.40","862.33","28.65K","0.47%"
"May 23, 2017","859.30","859.34","862.34","857.09","32.03K","0.01%"
"May 22, 2017","859.20","865.71","869.33","859.02","32.58K","-0.41%"
"May 19, 2017","862.71","861.89","865.31","860.22","25.79K","0.14%"
"May 18, 2017","861.49","870.52","870.92","860.86","26.85K","-1.22%"
"May 17, 2017","872.10","870.55","873.57","864.80","28.39K","0.07%"
"May 16, 2017","871.46","880.63","882.05","871.46","43.42K","-0.74%"
"May 15, 2017","877.99","866.95","878.16","866.95","40.12K","1.32%"
"May 12, 2017","866.56","861.17","867.41","861.17","32.33K","0.77%"
"May 11, 2017","859.98","858.61","861.21","856.77","30.36K","0.39%"
"May 10, 2017","856.64","859.83","862.77","856.64","36.76K","0.08%"
"May 09, 2017","855.96","849.69","855.96","848.78","34.07K","1.07%"
"May 08, 2017","846.90","842.60","848.49","842.60","29.79K","0.91%"
"May 05, 2017","839.23","831.78","839.23","831.78","29.70K","1.28%"
"May 04, 2017","828.60","824.45","831.14","824.45","30.13K","0.63%"
"May 03, 2017","823.38","822.69","824.22","819.28","27.34K","0.52%"
"Apr 28, 2017","819.09","815.56","819.23","813.41","24.46K","0.28%"
"Apr 27, 2017","816.82","810.34","817.11","810.34","17.42K","0.85%"
"Apr 26, 2017","809.90","804.40","809.96","804.40","19.23K","0.83%"
"Apr 25, 2017","803.24","800.91","805.30","800.91","19.67K","0.25%"
"Apr 24, 2017","801.24","803.43","804.78","800.95","17.58K","-0.47%"
"Apr 21, 2017","805.06","805.26","807.54","805.06","18.12K","-0.19%"
"Apr 20, 2017","806.57","808.18","808.89","805.77","18.12K","-0.02%"
"Apr 19, 2017","806.72","803.87","806.72","801.90","17.12K","0.51%"
"Apr 18, 2017","802.64","797.70","803.22","791.17","23.76K","0.53%"
"Apr 17, 2017","798.42","806.69","811.64","798.42","29.11K","-1.10%"
"Apr 14, 2017","807.26","813.13","813.13","801.10","26.86K","-0.77%"
"Apr 13, 2017","813.55","815.27","817.08","813.53","22.69K","-0.17%"
"Apr 12, 2017","814.93","819.94","823.68","814.78","31.99K","-0.77%"
"Apr 11, 2017","821.27","820.58","823.16","819.80","27.65K","0.12%"
"Apr 10, 2017","820.25","821.79","823.01","819.05","23.22K","0.14%"
"Apr 07, 2017","819.13","819.65","822.03","818.44","26.41K","-0.00%"
"Apr 05, 2017","819.16","819.32","821.60","817.45","23.97K","0.16%"
"Apr 04, 2017","817.89","819.49","822.29","817.89","25.28K","-0.02%"
"Apr 03, 2017","818.08","816.96","818.22","814.02","28.97K","0.13%"
"Mar 31, 2017","816.99","819.21","819.24","815.31","23.46K","0.04%"
"Mar 30, 2017","816.69","813.30","817.38","813.30","25.84K","0.56%"
"Mar 29, 2017","812.15","813.66","814.71","810.29","30.22K","-0.03%"
"Mar 28, 2017","812.40","813.15","816.66","809.60","37.69K","-0.12%"
"Mar 27, 2017","813.34","815.62","817.53","811.79","30.81K","-0.28%"
"Mar 24, 2017","815.65","815.93","819.30","812.96","30.42K","0.18%"
"Mar 23, 2017","814.19","813.10","816.85","811.70","27.19K","0.11%"
"Mar 22, 2017","813.30","824.77","825.20","813.30","36.54K","-1.42%"
"Mar 21, 2017","825.03","825.70","826.94","822.83","24.03K","-0.05%"
"Mar 20, 2017","825.47","821.82","825.47","820.46","28.21K","0.82%"
"Mar 17, 2017","818.78","818.53","821.96","818.53","21.67K","0.34%"
"Mar 16, 2017","816.00","811.50","816.95","811.50","24.09K","0.55%"
"Mar 15, 2017","811.52","810.78","813.84","809.42","21.58K","0.23%"
"Mar 14, 2017","809.69","808.60","812.15","808.10","25.06K","0.32%"
"Mar 13, 2017","807.08","804.84","808.50","803.47","24.91K","0.34%"
"Mar 10, 2017","804.31","809.26","811.37","804.31","29.89K","-0.34%"
"Mar 09, 2017","807.07","807.52","809.76","805.63","32.15K","-0.16%"
"Mar 08, 2017","808.33","805.71","809.96","804.61","24.55K","0.22%"
"Mar 07, 2017","806.59","802.07","806.59","802.07","32.80K","0.55%"
"Mar 06, 2017","802.15","797.34","802.91","797.34","29.28K","0.67%"
"Mar 03, 2017","796.82","798.96","799.64","792.97","26.40K","-0.27%"
"Mar 02, 2017","798.97","799.52","805.61","796.35","21.70K","-0.11%"
"Mar 01, 2017","799.82","802.63","806.07","793.50","33.04K","-0.45%"
"Feb 28, 2017","803.40","806.29","809.82","803.23","34.77K","-0.50%"
"Feb 27, 2017","807.47","803.53","808.03","803.53","26.57K","0.31%"
"Feb 24, 2017","805.01","805.35","809.63","805.01","39.85K","0.08%"
"Feb 23, 2017","804.37","803.87","806.36","798.22","41.01K","0.04%"
"Feb 22, 2017","804.03","808.81","809.68","804.03","32.76K","-0.34%"
"Feb 21, 2017","806.79","801.26","807.68","801.26","37.84K","1.08%"
"Feb 20, 2017","798.16","787.93","798.16","787.93","31.18K","1.32%"
"Feb 17, 2017","787.79","785.52","787.79","782.63","30.95K","0.28%"
"Feb 16, 2017","785.61","791.21","793.96","785.29","37.73K","-0.32%"
"Feb 15, 2017","788.14","780.72","789.48","780.72","32.33K","0.99%"
"Feb 14, 2017","780.41","776.91","781.57","776.91","39.15K","0.57%"
"Feb 13, 2017","776.00","770.85","776.56","770.85","37.20K","0.85%"
"Feb 10, 2017","769.43","768.44","770.37","768.09","26.78K","0.28%"
"Feb 09, 2017","767.27","761.43","767.27","761.43","30.97K","0.87%"
"Feb 08, 2017","760.65","758.79","761.58","758.73","21.51K","0.43%"
"Feb 07, 2017","757.37","756.10","758.72","754.24","28.21K","0.44%"
"Feb 06, 2017","754.08","753.98","755.12","752.66","22.24K","0.09%"
"Feb 03, 2017","753.37","754.96","755.81","751.66","23.15K","-0.17%"
"Feb 02, 2017","754.69","751.00","754.96","751.00","13.92K","0.60%"
"Jan 25, 2017","750.17","744.01","750.17","743.99","20.94K","1.06%"
"Jan 24, 2017","742.31","738.61","743.05","738.44","21.00K","0.77%"
"Jan 23, 2017","736.64","737.25","740.17","734.30","15.02K","-0.11%"
"Jan 20, 2017","737.43","734.71","738.38","734.71","11.98K","0.30%"
"Jan 19, 2017","735.21","737.44","739.31","735.21","9.03K","-0.30%"
"Jan 18, 2017","737.42","743.24","744.56","737.30","11.27K","-0.62%"
"Jan 17, 2017","742.04","744.40","746.28","740.20","10.28K","-0.37%"
"Jan 16, 2017","744.83","751.92","754.91","744.61","12.16K","-0.90%"
"Jan 13, 2017","751.60","751.09","754.83","749.65","12.48K","0.15%"
"Jan 12, 2017","750.44","749.74","751.02","748.44","12.37K","0.11%"
"Jan 11, 2017","749.58","749.92","753.96","749.19","14.06K","-0.04%"
"Jan 10, 2017","749.87","750.71","751.21","748.05","11.74K","-0.05%"
"Jan 09, 2017","750.27","750.11","752.35","748.48","10.14K","0.05%"
"Jan 06, 2017","749.92","750.09","753.08","749.25","16.59K","-0.16%"
"Jan 05, 2017","751.13","748.16","751.47","747.32","14.08K","0.43%"
"Jan 04, 2017","747.88","748.17","753.68","747.50","10.34K","-0.23%"
"Jan 03, 2017","749.63","749.69","751.22","747.28","10.71K","0.01%"
"Dec 30, 2016","749.59","746.76","749.59","745.33","10.41K","0.29%"
"Dec 29, 2016","747.44","744.80","748.70","744.80","12.40K","0.34%"
"Dec 28, 2016","744.89","744.59","747.20","741.90","10.80K","-0.02%"
"Dec 27, 2016","745.03","744.85","747.33","742.38","20.07K","-0.26%"
"Dec 26, 2016","746.98","752.05","754.37","746.61","12.24K","-0.54%"
